,name,price,image,rate
95,XIAOMI Redmi 14C - 6.88-inch 4GB/128GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 6,262.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
96,A car mobile phone holder with a clip attached to the sunshade,EGP 199.00,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
97,Samsung Galaxy A15 - 8GB RAM - 256GB - Blue Black,"EGP 9,999.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
98,Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/4GB - Black,"EGP 7,150.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
99,Infinix Smart 8 Mobile Phone - 6.6 Inches - Dual SIM 4G 128GB/4GB - Timber Black,"EGP 4,785.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
100,Samsung Galaxy A05s Mobile Phone - 6.7 Inches - Dual SIM 4G 128GB/4GB - Light Violet,"EGP 7,150.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
101,"OPPO A60 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Midnight Purple","EGP 10,505.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
102,Hope K19 - 2.4 Inch 4 SIM Card Mobile Phone - Black,"EGP 1,350.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
103,Samsung Galaxy A35 Mobile Phone- 6.6 Inches - Dual SIM 5G 256GB/8GB - Awesome Navy,"EGP 17,380.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
104,"OPPO A3 - 6.6"" 256GB/8GB Dual SIM 4G Mobile Phone - Sparkle Black","EGP 10,200.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
105,XIAOMI Redmi A3 - 6.71-inch 3GB/64GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 4,699.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
106,Samsung Galaxy A25 Mobile Phone - 6.5 Inches - Dual SIM 5G 256GB/8GB - Blue Black,"EGP 11,990.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
107,XIAOMI Redmi 14C - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Starry Blue,"EGP 7,799.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
108,XIAOMI Redmi 14C - 6.88-inch 8GB/256GB Dual Sim 4G Mobile Phone - Midnight Black,"EGP 7,799.00","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",No rating
